date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:05	24/24	---M--	200	added ('OK')	application/javascript	etag:%2218-5c292b367c53b%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/ecommerce-select2.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/ecommerce-select2.init.js	(from https://themesbrand.com/skote-django/layouts/ecommerce-checkout.html)
15:27:05	9846/9846	---M-Z	200	added ('OK')	text/css	etag:%222676-5c292b3693c44-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/dropzone/min/dropzone.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/dropzone/min/dropzone.min.css	(from https://themesbrand.com/skote-django/layouts/ecommerce-add-product.html)
15:27:05	47487/47487	---M-Z	200	added ('OK')	application/javascript	etag:%22b97f-5c292b3693c44-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/dropzone/min/dropzone.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/dropzone/min/dropzone.min.js	(from https://themesbrand.com/skote-django/layouts/ecommerce-add-product.html)
15:27:06	5395/5395	---M-Z	200	added ('OK')	text/css	etag:%221513-5c292b3690d63-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net-bs4/css/dataTables.bootstrap4.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net-bs4/css/dataTables.bootstrap4.min.css	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:06	4162/4162	---M-Z	200	added ('OK')	text/css	etag:%221042-5c292b3692ca3-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive-bs4/css/responsive.bootstrap4.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive-bs4/css/responsive.bootstrap4.min.css	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:07	2094/2094	---M-Z	200	added ('OK')	application/javascript	etag:%2282e-5c292b3690d63-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net-bs4/js/dataTables.bootstrap4.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net-bs4/js/dataTables.bootstrap4.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:07	83581/83581	---M-Z	200	added ('OK')	application/javascript	etag:%221467d-5c292b3693c44-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net/js/jquery.dataTables.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net/js/jquery.dataTables.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:07	13968/13968	---M-Z	200	added ('OK')	application/javascript	etag:%223690-5c292b3692ca3-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive/js/dataTables.responsive.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive/js/dataTables.responsive.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:07	1244/1244	---M-Z	200	added ('OK')	application/javascript	etag:%224dc-5c292b3692ca3-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:08	754/754	---M-Z	200	added ('OK')	application/javascript	etag:%222f2-5c292b367c53b-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/crypto-wallet.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/crypto-wallet.init.js	(from https://themesbrand.com/skote-django/layouts/crypto-wallet.html)
15:27:08	3778/3778	---M-Z	200	added ('OK')	application/javascript	etag:%22ec2-5c292b367c53b-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/crypto-exchange.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/crypto-exchange.init.js	(from https://themesbrand.com/skote-django/layouts/crypto-exchange.html)
15:27:08	15731/15731	---M-Z	200	added ('OK')	text/css	etag:%223d73-5c292b368bf41-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/bootstrap-datepicker/css/bootstrap-datepicker.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/bootstrap-datepicker/css/bootstrap-datepicker.min.css	(from https://themesbrand.com/skote-django/layouts/crypto-orders.html)
15:27:09	33693/33693	---M-Z	200	added ('OK')	application/javascript	etag:%22839d-5c292b368bf41-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/bootstrap-datepicker/js/bootstrap-datepicker.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/bootstrap-datepicker/js/bootstrap-datepicker.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-orders.html)
15:27:09	197/197	---M-Z	200	added ('OK')	application/javascript	etag:%22c5-5c292b367c53b-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/crypto-orders.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/crypto-orders.init.js	(from https://themesbrand.com/skote-django/layouts/crypto-orders.html)
15:27:09	13857/13857	---M-Z	200	added ('OK')	application/javascript	etag:%223621-5c292b36ae22d-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/jquery-steps/build/jquery.steps.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/jquery-steps/build/jquery.steps.min.js	(from https://themesbrand.com/skote-django/layouts/crypto-kyc-application.html)
15:27:10	122/122	---M-Z	200	added ('OK')	application/javascript	etag:%227a-5c292b367c53b-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/crypto-kyc-app.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/crypto-kyc-app.init.js	(from https://themesbrand.com/skote-django/layouts/crypto-kyc-application.html)
15:27:10	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5c292b36c7876-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/owl.carousel/assets/owl.carousel.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/owl.carousel/assets/owl.carousel.min.css	(from https://themesbrand.com/skote-django/layouts/crypto-ico-landing.html)
15:27:10	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5c292b36c7876-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/owl.carousel/assets/owl.theme.default.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/owl.carousel/assets/owl.theme.default.min.css	(from https://themesbrand.com/skote-django/layouts/crypto-ico-landing.html)
15:27:10	1108/1108	---M--	200	added ('OK')	image/png	etag:%22454-5c292b36563ce%22	https://themesbrand.com/skote-django/layouts/assets/images/clients/1.png	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/clients/1.png	(from https://themesbrand.com/skote-django/layouts/crypto-ico-landing.html)
15:27:11	1005/1005	---M--	200	added ('OK')	image/png	etag:%223ed-5c292b36563ce%22	https://themesbrand.com/skote-django/layouts/assets/images/clients/2.png	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/clients/2.png	(from https://themesbrand.com/skote-django/layouts/crypto-ico-landing.html)
